sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
60,1,60,2.000000,0,4,612.806274,821.010071,0.050000,0.100000,0.000000
60,1,60,2.000000,0,5,681.862793,800.820251,0.100000,0.100000,0.000000
60,1,60,2.000000,0,6,749.324463,783.750061,0.150000,0.100000,0.000000
60,1,60,2.000000,0,7,815.644043,762.892700,0.200000,0.100000,0.000000
60,1,60,2.000000,0,8,597.937134,755.976746,0.050000,0.150000,0.000000
60,1,60,2.000000,0,9,670.129639,738.388611,0.100000,0.150000,0.000000
60,1,60,2.000000,0,10,736.601196,718.613281,0.150000,0.150000,0.000000
60,1,60,2.000000,0,11,803.644775,702.712097,0.200000,0.150000,0.000000
60,1,60,2.000000,0,12,585.356812,692.281555,0.050000,0.200000,0.000000
60,1,60,2.000000,0,13,656.358154,672.969727,0.100000,0.200000,0.000000
60,1,60,2.000000,0,14,725.681274,656.637512,0.150000,0.200000,0.000000
60,1,60,2.000000,0,15,793.395508,637.762024,0.200000,0.200000,0.000000
60,1,60,2.000000,0,16,570.032349,623.999390,0.050000,0.250000,0.000000
60,1,60,2.000000,0,17,643.256714,607.784912,0.100000,0.250000,0.000000
60,1,60,2.000000,0,18,714.866577,590.362061,0.150000,0.250000,0.000000
60,1,60,2.000000,0,19,781.767212,573.734192,0.200000,0.250000,0.000000
60,1,60,2.000000,0,20,556.080688,557.154724,0.050000,0.300000,0.000000
60,1,60,2.000000,0,21,630.408813,539.588989,0.100000,0.300000,0.000000
60,1,60,2.000000,0,22,701.780884,522.683533,0.150000,0.300000,0.000000
60,1,60,2.000000,0,23,770.804077,507.383453,0.200000,0.300000,0.000000
65,1,65,2.166667,0,0,630.437134,877.757690,0.050000,0.050000,0.000000
65,1,65,2.166667,0,1,698.427368,860.602356,0.100000,0.050000,0.000000
65,1,65,2.166667,0,2,765.615967,839.531067,0.150000,0.050000,0.000000
65,1,65,2.166667,0,3,828.647949,820.203918,0.200000,0.050000,0.000000
65,1,65,2.166667,0,4,617.396973,815.751526,0.050000,0.100000,0.000000
65,1,65,2.166667,0,5,687.189087,797.337708,0.100000,0.100000,0.000000
65,1,65,2.166667,0,8,602.729858,752.296814,0.050000,0.150000,0.000000
65,1,65,2.166667,0,9,673.714600,734.508118,0.100000,0.150000,0.000000
65,1,65,2.166667,0,12,589.157593,689.029602,0.050000,0.200000,0.000000
65,1,65,2.166667,0,13,661.398804,669.483887,0.100000,0.200000,0.000000
65,1,65,2.166667,0,14,729.982422,651.709961,0.150000,0.200000,0.000000
65,1,65,2.166667,0,15,797.673340,634.589600,0.200000,0.200000,0.000000
65,1,65,2.166667,0,16,574.534790,620.633118,0.050000,0.250000,0.000000
65,1,65,2.166667,0,17,648.089722,602.893616,0.100000,0.250000,0.000000
65,1,65,2.166667,0,18,717.372681,586.169983,0.150000,0.250000,0.000000
65,1,65,2.166667,0,19,785.529907,569.673401,0.200000,0.250000,0.000000
65,1,65,2.166667,0,20,560.810669,552.596130,0.050000,0.300000,0.000000
65,1,65,2.166667,0,21,633.845459,535.640076,0.100000,0.300000,0.000000
65,1,65,2.166667,0,22,704.785400,520.195007,0.150000,0.300000,0.000000
65,1,65,2.166667,0,23,774.311157,503.695038,0.200000,0.300000,0.000000
70,1,70,2.333333,0,0,631.232178,875.197388,0.050000,0.050000,0.000000
70,1,70,2.333333,0,1,700.429810,857.244080,0.100000,0.050000,0.000000
70,1,70,2.333333,0,2,765.939697,837.405457,0.150000,0.050000,0.000000
70,1,70,2.333333,0,3,830.979126,817.461426,0.200000,0.050000,0.000000
70,1,70,2.333333,0,4,619.107910,812.477783,0.050000,0.100000,0.000000
70,1,70,2.333333,0,5,688.066528,795.332947,0.100000,0.100000,0.000000
70,1,70,2.333333,0,6,755.892456,776.011414,0.150000,0.100000,0.000000
70,1,70,2.333333,0,7,820.962158,757.717590,0.200000,0.100000,0.000000
70,1,70,2.333333,0,8,605.123169,750.088440,0.050000,0.150000,0.000000
70,1,70,2.333333,0,9,675.815186,732.098389,0.100000,0.150000,0.000000
70,1,70,2.333333,0,10,744.284668,713.808044,0.150000,0.150000,0.000000
70,1,70,2.333333,0,11,810.326904,695.294800,0.200000,0.150000,0.000000
70,1,70,2.333333,0,12,591.415283,685.194885,0.050000,0.200000,0.000000
70,1,70,2.333333,0,13,662.465576,666.984131,0.100000,0.200000,0.000000
70,1,70,2.333333,0,14,731.675049,649.854187,0.150000,0.200000,0.000000
70,1,70,2.333333,0,15,800.070679,632.870483,0.200000,0.200000,0.000000
70,1,70,2.333333,0,16,577.331909,618.416199,0.050000,0.250000,0.000000
70,1,70,2.333333,0,17,649.760254,601.241394,0.100000,0.250000,0.000000
70,1,70,2.333333,0,18,719.473022,584.300293,0.150000,0.250000,0.000000
